"animal","y","fixed","random","ypred","stderr"
1,NA,9.12283132571136,-0.327114593726626,8.79571673198473,0.78717645621739
2,NA,9.12283132571136,0.298874614958216,9.42170594066958,0.811918303936056
3,NA,9.12283132571136,0.387330875418951,9.51016220113031,0.820857137852077
4,NA,9.12283132571136,-0.359090896650539,8.76374042906082,0.840197885062154
5,6.678678453,9.12283132571136,-0.187421376197867,8.93540994951349,0.72455562254244
6,10.98406623,9.12283132571136,0.379216345909653,9.50204767162101,0.740379862879359
7,8.502356248,9.12283132571136,0.00569510240580524,9.12852642811717,0.754970162518237
8,8.351495571,9.12283132571136,-0.237007266532492,8.88582405917887,0.74051341887687
9,5.411336338,9.12283132571136,-0.846778428768593,8.27605289694277,0.757907442419798
10,10.60946503,9.12283132571136,0.465480070311823,9.58831139602318,0.762045503170283
11,9.061386025,9.12283132571136,-0.303080795808545,8.81975052990281,0.775377664220625
12,9.08904811,9.12283132571136,0.289549355619276,9.41238068133064,0.774571745846254
13,10.10193186,9.12283132571136,0.218783018688171,9.34161434439953,0.740690660452016
14,9.039332016,9.12283132571136,0.127107713912041,9.2499390396234,0.768127421244615
15,12.26466498,9.12283132571136,0.368485017660789,9.49131634337215,0.755028433119059
16,11.45729187,9.12283132571136,0.548902921623409,9.67173424733477,0.761227924862564
17,7.115661696,9.12283132571136,-0.384429590237902,8.73840173547346,0.758086768846642
18,8.533919656,9.12283132571136,-0.0243288006383389,9.09850252507302,0.760781149188192
19,10.9315358,9.12283132571136,0.517001049369145,9.63983237508051,0.769187642350876
20,8.194817139,9.12283132571136,-0.575488526698141,8.54734279901322,0.779215946116512
